critical_vuln;high_vuln;medium_vuln;dt_created;issues_list;tool;cd_month_start;id_vulnerability;scan_date
0;62;97;01/12/2022;['CVE-2020-11988', 'Cxb3498186-093f', 'CVE-2021-28170', 'Cxa9261daf-3755', 'CVE-2020-17521', 'CVE-2020-11987', 'CVE-2019-13990', 'CVE-2022-29599', 'CVE-2021-31811', 'CVE-2021-27906', 'CVE-2021-31812', 'CVE-2021-27807', 'CVE-2019-0233', 'CVE-2019-0230', 'CVE-2020-17530', 'CVE-2019-10072', 'CVE-2021-30639', 'CVE-2020-1938', 'CVE-2020-1935', 'CVE-2019-17569', 'CVE-2021-25122', 'CVE-2022-25762', 'CVE-2019-0199', 'CVE-2021-33037', 'CVE-2020-13934', 'CVE-2020-13935', 'CVE-2021-40690', 'CVE-2020-13936', 'CVE-2021-24122', 'CVE-2019-17563', 'CVE-2020-9484', 'CVE-2021-30640', 'CVE-2021-25329', 'CVE-2022-40146', 'CVE-2022-41704', 'CVE-2022-38648', 'CVE-2022-38398', 'CVE-2022-42890', 'CVE-2012-5568', 'CVE-2022-34169', 'CVE-2020-14338', 'CVE-2012-0881', 'CVE-2013-4002', 'CVE-2018-2799', 'CVE-2017-10355', 'CVE-2022-23437', 'CVE-2009-2625', 'CVE-2022-22965', 'CVE-2022-22970', 'CVE-2022-22968', 'CVE-2021-22118', 'CVE-2020-5421', 'CVE-2016-1000027', 'CVE-2021-22096', 'CVE-2022-22971', 'CVE-2021-22060', 'CVE-2022-22950', 'CVE-2007-2379', 'CVE-2020-11023', 'CVE-2014-6071', 'CVE-2019-11358', 'CVE-2020-11022', 'CVE-2023-20863', 'CVE-2023-20861', 'CVE-2018-10237', 'CVE-2020-8908', 'CVE-2018-1000873', 'CVE-2022-40151', 'CVE-2022-40152', 'CVE-2021-42550', 'CVE-2016-3092', 'CVE-2013-2186', 'CVE-2014-0050', 'CVE-2023-24998', 'CVE-2013-0248', 'CVE-2016-1000031', 'CVE-2020-15250', 'CVE-2018-14721', 'CVE-2020-14060', 'CVE-2020-10969', 'CVE-2020-11619', 'CVE-2020-11113', 'CVE-2020-35491', 'CVE-2020-36189', 'CVE-2020-10968', 'CVE-2020-9546', 'CVE-2020-36180', 'CVE-2018-14720', 'CVE-2020-9547', 'CVE-2019-12384', 'CVE-2019-14893', 'CVE-2019-17267', 'CVE-2020-24616', 'CVE-2020-14061', 'CVE-2021-20190', 'CVE-2020-14195', 'CVE-2018-19362', 'CVE-2019-16942', 'CVE-2019-16943', 'CVE-2020-11112', 'CVE-2020-14062', 'CVE-2018-14719', 'CVE-2020-36182', 'CVE-2020-10673', 'CVE-2020-36188', 'CVE-2020-36181', 'CVE-2020-8840', 'CVE-2020-25649', 'CVE-2020-11620', 'CVE-2018-19361', 'CVE-2020-36186', 'CVE-2020-9548', 'CVE-2020-36187', 'CVE-2020-36179', 'CVE-2020-36185', 'CVE-2017-17485', 'CVE-2019-16335', 'CVE-2022-42003', 'CVE-2018-7489', 'CVE-2019-12814', 'CVE-2020-24750', 'CVE-2020-36183', 'CVE-2018-12022', 'CVE-2019-17531', 'CVE-2018-11307', 'CVE-2019-14439', 'CVE-2020-35490', 'CVE-2020-11111', 'CVE-2019-12086', 'CVE-2018-14718', 'CVE-2020-10672', 'CVE-2019-14892', 'CVE-2019-14379', 'CVE-2018-12023', 'CVE-2020-36184', 'CVE-2020-10650', 'CVE-2020-36518', 'CVE-2019-20330', 'CVE-2019-14540', 'CVE-2018-19360', 'CVE-2020-35728', 'CVE-2018-5968', 'CVE-2022-42004', 'CVE-2022-25647', 'Cx78f40514-81ff', 'CVE-2021-29425', 'CVE-2012-5783', 'CVE-2012-6153', 'CVE-2021-36373', 'CVE-2021-36374', 'CVE-2020-1945', 'CVE-2018-20433', 'CVE-2019-5427', 'CVE-2022-42889', 'CVE-2021-36090', 'CVE-2021-35516', 'CVE-2021-35517', 'CVE-2021-35515', 'CVE-2021-44832', 'CVE-2021-44228', 'CVE-2021-45046', 'CVE-2020-9488', 'CVE-2021-45105', 'CVE-2019-10086', 'CVE-2014-0114'];SCA;01/12/2022;0;15/06/2023
0;6;2;14/11/2022;['CVE-2022-3517', 'CVE-2022-23647', 'CVE-2022-0536', 'CVE-2022-48285', 'Cxc7705965-e0f0', 'Cxda14f253-4e52', 'CVE-2022-46175', 'Cx8bc4df28-fcf5', 'Cxdca8e59f-8bfe'];SCA;01/11/2022;1;15/06/2023
;0;1;16/05/2023;['Client Privacy Violation', 'Client HTML5 Store Sensitive data In Web Storage', 'Missing HSTS Header', 'Client Hardcoded Domain', 'Potential Clickjacking on Legacy Browsers'];SAST;01/05/2023;2;15/06/2023
;6;15;15/05/2023;['Reflected XSS All Clients', 'Stored XSS', 'Client Potential XSS', 'Unsafe Object Binding', 'Server DoS by loop', 'Use of Deprecated or Obsolete Functions', 'Use of Broken or Risky Cryptographic Algorithm', 'Client Weak Cryptographic Hash', 'Spring Overly Permissive Cross Origin Resource Sharing Policy', 'Client Password In Comment', 'Spring Missing Function Level Authorization', 'Log Forging', 'Unprotected Cookie', 'Information Exposure Through an Error Message', 'Use Of Hardcoded Password', 'Client DOM Open Redirect', 'Heap Inspection', 'Improper Resource Access Authorization', 'Stored Log Forging', 'Client Overly Permissive Message Posting', 'Incorrect Permission Assignment For Critical Resources', 'Client JQuery Deprecated Symbols', 'Use Of Hardcoded Password In Config', 'Spring Use Of Hardcoded Password', 'Spring Missing Expect CT Header', 'Spring Missing Content Security Policy', 'Improper Resource Shutdown or Release', 'Integer Overflow', 'Integer Underflow', 'Object Hijack', 'Potential Clickjacking on Legacy Browsers', 'Client Potential DOM Open Redirect', 'Client Hardcoded Domain', 'JSON Hijacking', 'Missing CSP Header', 'Overly Permissive Cross Origin Resource Sharing Policy', 'Java Find Methods', 'Java Find Imports', 'Spring Missing Object Level Authorization', 'Undocumented API', 'Hardcoded Absolute Path', 'Portability Flaw In File Separator'];SAST;01/05/2023;3;15/06/2023
;147;216;15/05/2023;['Reflected XSS All Clients', 'Stored XSS', 'Client DOM Stored XSS', 'Client DOM XSS', 'Dangerous File Upload', 'SQL Injection', 'Second Order SQL Injection', 'Client Potential XSS', 'Elmah Enabled', 'Path Traversal', 'CSRF', 'HttpOnlyCookies In Config', 'Persistent Connection String', 'Missing Column Encryption', 'Reflected XSS Specific Clients', 'Privacy Violation', 'Value Shadowing', 'Client Potential Code Injection', 'RequireSSL', 'Client DOM Cookie Poisoning', 'Improper Restriction of XXE Ref', 'Insufficient Connection String Encryption', 'Missing HSTS Header', 'Client JQuery Deprecated Symbols', 'Improper Exception Handling', 'Thread Safety Issue', 'Improper Resource Shutdown or Release', 'Unencrypted Web Config File', 'Client Use Of Iframe Without Sandbox', 'Trust Boundary Violation in Session Variables', 'Unsafe Use Of Target blank', 'Missing X Frame Options', 'Password in Configuration File', 'Information Exposure Through an Error Message', 'Log Forging', 'Use Of Hardcoded Password', 'Heap Inspection', 'Client DOM Open Redirect', 'Cleansing Canonicalization and Comparison Errors', 'Use of Insufficiently Random Values', 'CustomError', 'Heuristic 2nd Order SQL Injection', 'DebugEnabled', 'NonUniqueFormName', 'Unprotected Cookie', 'SlidingExpiration', 'Client Password In Comment', 'Missing Content Security Policy', 'Potential ReDoS', 'Potential Clickjacking on Legacy Browsers', 'Use Of Broken Or Risky Cryptographic Algorithm', 'Hardcoded Absolute Path', 'Just One of Equals and Hash code Defined'];SAST;01/05/2023;4;15/06/2023
;0;97;15/05/2023;['CSRF', 'Missing HSTS Header', 'Missing Function Level Authorization', 'Improper Exception Handling', 'Blind SQL Injections', 'Client Hardcoded Domain', 'React Deprecated', 'Log Forging', 'Potential Clickjacking on Legacy Browsers', 'Missing X Frame Options', 'Unencrypted Web Config File', 'Missing Content Security Policy', 'Undocumented API', 'Hardcoded Absolute Path'];SAST;01/05/2023;5;15/06/2023
;0;0;15/05/2023;['Client JQuery Deprecated Symbols', 'Spring Overly Permissive Cross Origin Resource Sharing Policy', 'Potential Clickjacking on Legacy Browsers', 'Spring Missing Content Security Policy', 'Spring Missing Expect CT Header', 'Java Find Imports', 'Java Find Methods', 'Undocumented API'];SAST;01/05/2023;6;15/06/2023
;14;295;15/05/2023;['Reflected XSS All Clients', 'Stored XSS', 'CSRF', 'HttpOnlyCookies', 'Missing Object Level Authorization', 'Insecure Cookie', 'Missing HSTS Header', 'Improper Exception Handling', 'Log Forging', 'Leaving Temporary Files', 'Missing Function Level Authorization', 'Unsafe Use Of Target blank', 'Information Exposure Through an Error Message', 'Heap Inspection', 'Cleansing Canonicalization and Comparison Errors', 'Use Of Hardcoded Password', 'Potential Clickjacking on Legacy Browsers', 'Client Overly Permissive Message Posting', 'Client Use Of Iframe Without Sandbox', 'Client Server Empty Password', 'Missing Content Security Policy'];SAST;01/05/2023;7;15/06/2023
;34;30;15/05/2023;['Client DOM XSS', 'Client DOM Stored XSS', 'SQL Injection', 'Client Potential XSS', 'SSRF', 'Angular Improper Type Pipe Usage', 'Client DOM Cookie Poisoning', 'Input Path Not Canonicalized', 'Cleartext Submission of Sensitive Information', 'HttpOnlyCookies', 'Client ReDoS From Regex Injection', 'Use of Cryptographically Weak PRNG', 'Use of Insufficiently Random Values', 'Stored Absolute Path Traversal', 'Spring Overly Permissive Cross Origin Resource Sharing Policy', 'Client JQuery Deprecated Symbols', 'Incorrect Permission Assignment For Critical Resources', 'Log Forging', 'Client DOM Open Redirect', 'Portability Flaw Locale Dependent Comparison', 'Client Hardcoded Domain', 'Improper Resource Access Authorization', 'Spring Use Of Hardcoded Password', 'Unsafe Use Of Target blank', 'Improper Exception Handling', 'Heap Inspection', 'Race Condition Format Flaw', 'Private Array Returned From A Public Method', 'Public Data Assigned to Private Array', 'Improper Resource Shutdown or Release', 'Angular Deprecated API', 'Client Use Of Iframe Without Sandbox', 'Unprotected Cookie', 'Use Of Hardcoded Password', 'Information Leak Through Comments', 'Information Exposure Through an Error Message', 'Public Static Final References Mutable Object', 'Use Of Hardcoded Password In Config', 'Use of RSA Algorithm without OAEP', 'Angular Usage of Unsafe DOM Sanitizer', 'Blind SQL Injections', 'Creation of Temp File in Dir with Incorrect Permissions', 'Client Overly Permissive Message Posting', 'Potential Clickjacking on Legacy Browsers', 'Open Redirect', 'Reversible One Way Hash', 'Serializable Class Containing Sensitive Data', 'Stored Log Forging', 'Trust Boundary Violation in Session Variables', 'Uncaught Exception', 'Sensitive Cookie in HTTPS Session Without Secure Attribute', 'Uncontrolled Memory Allocation', 'Spring Missing Expect CT Header', 'Spring Missing Content Security Policy', 'Java Find Methods', 'Java Find Imports', 'Use of Wrong Operator in String Comparison', 'Declaration Of Catch For Generic Exception', 'Explicit Calls To Methods', 'Declaration of Throws for Generic Exception', 'Portability Flaw In File Separator', 'Exposure of Resource to Wrong Sphere', 'Just One of Equals and Hash code Defined', 'Empty Methods', 'Missing Default Case In Switch Statement', 'Omitted Break Statement In Switch'];SAST;01/05/2023;8;15/06/2023
;0;1;15/05/2023;['Missing HSTS Header', 'Missing Content Security Policy', 'Python Find Methods', 'Python Find Imports'];SAST;01/05/2023;9;15/06/2023
0;7;30;10/05/2023;['CVE-2021-42550', 'CVE-2021-28169', 'CVE-2009-1524', 'CVE-2009-4612', 'CVE-2009-5047', 'CVE-2009-4611', 'CVE-2019-10247', 'CVE-2009-4609', 'CVE-2009-5048', 'CVE-2009-5045', 'CVE-2009-1523', 'CVE-2009-4610', 'CVE-2009-5049', 'CVE-2009-5046', 'CVE-2022-22968', 'CVE-2021-28170', 'CVE-2021-36373', 'CVE-2012-2098', 'CVE-2021-36374', 'CVE-2020-1945', 'CVE-2022-25857', 'CVE-2022-38751', 'CVE-2022-1471', 'CVE-2022-41854', 'CVE-2022-38752', 'CVE-2022-38749', 'CVE-2022-38750', 'CVE-2022-22965', 'CVE-2022-22970', 'CVE-2017-5929', 'CVE-2021-22096', 'CVE-2022-22971', 'CVE-2021-22060', 'CVE-2022-22950', 'CVE-2020-15250', 'CVE-2023-20863', 'CVE-2023-20861', 'CVE-2020-10693', 'CVE-2019-10219'];SCA;01/05/2023;10;15/06/2023
;915;450;16/05/2023;['Second Order SQL Injection', 'Stored XSS', 'SQL Injection', 'Reflected XSS All Clients', 'Client DOM XSS', 'OS Access Violation', 'CSRF', 'Django Missing Object Level Authorization', 'Unchecked Input for Loop Condition', 'Open Redirect', 'SSRF', 'Object Access Violation', 'Stored Command Injection', 'Hardcoded Password in Connection String', 'Client Potential XSS', 'Path Traversal', 'ReDoS In Replace', 'Missing Secure In Config', 'Privacy Violation', 'Use of Hardcoded Cryptographic Key', 'Trust Boundary Violation in Session Variables', 'Stored Code Injection'];SAST;01/05/2023;11;15/06/2023
;969;412;15/05/2023;['Reflected XSS All Clients', 'Client DOM XSS', 'Stored XSS', 'Value Shadowing', 'Client Potential Code Injection', 'Reflected XSS Specific Clients', 'Client Potential XSS', 'Data Filter Injection', 'Path Traversal', 'Client Privacy Violation', 'Heuristic Stored XSS', 'Heuristic SQL Injection', 'Client JQuery Deprecated Symbols', 'Heuristic CSRF', 'Cleansing Canonicalization and Comparison Errors', 'Improper Exception Handling', 'Heuristic Parameter Tampering', 'Unsafe Use Of Target blank', 'Client DOM Open Redirect', 'Unprotected Cookie', 'Information Exposure Through an Error Message', 'Heuristic 2nd Order SQL Injection', 'Improper Resource Shutdown or Release', 'Password In Configuration File', 'Heap Inspection', 'XSS Evasion Attack', 'Client Potential DOM Open Redirect', 'CustomError', 'DebugEnabled', 'Potential Clickjacking on Legacy Browsers', 'Missing X Frame Options', 'Client Hardcoded Domain', 'Overly Permissive Cross Origin Resource Sharing Policy', 'Leftover Debug Code', 'Hardcoded Absolute Path'];SAST;01/05/2023;12;15/06/2023
